hitter_location,hit_land_location,in_system_success,out_system_success,success rate
25.0,13.0,,0.0,0.0
25.0,14.0,,0.0,0.0
26.0,3.0,,0.0,0.0
26.0,4.0,,0.0,0.0
26.0,5.0,0.0,,0.0
26.0,8.0,0.0,0.0,0.0
26.0,9.0,,0.0,0.0
26.0,11.0,,,
26.0,12.0,0.0,,0.0
26.0,13.0,,0.0,0.0
26.0,14.0,0.0,0.0,0.0
26.0,16.0,1.0,,1.0
26.0,21.0,1.0,,1.0
26.0,25.0,0.0,,0.0
